Locality,Restaurant_Count,Avg_Cost,Highest_Rating,Market_Expense_Rank
"The Oberoi, Udyog Vihar, Gurgaon",3,4833.333333333333,4.7,1
"ITC Maurya, Chanakyapuri, New Delhi",5,4820.0,4.9,2
"Taj Palace, Chanakyapuri, New Delhi",5,4780.0,4.4,3
"The Lalit New Delhi, Barakhamba Road, New Delhi",4,4650.0,4.2,4
"The Taj Mahal Hotel, Mansingh Road, New Delhi",5,4040.0,4.5,5
"The Leela Palace, Chanakyapuri, New Delhi",4,3875.0,4.3,6
"Taj City Centre Gurugram, Sector 44, Gurgaon, Gurgaon",3,3633.3333333333335,4.3,7
"Radisson Blu, Sector 18, Noida, Noida",4,3475.0,4.3,8
"The Westin Gurgaon, Sector 29, Gurgaon",4,3475.0,4.4,8
"Hyatt Regency, Bhikaji Cama Place, New Delhi",6,3333.3333333333335,4.5,9
"Radisson Blu, Sector 13, Dwarka, New Delhi",3,3333.3333333333335,4.2,9
"Roseate House, Aerocity, New Delhi",4,3150.0,4.3,10
"Shangri-La's - Eros Hotel, Connaught Place, New Delhi",5,3080.0,4.5,11
"JW Marriott New Delhi, New Delhi",3,2833.3333333333335,4.6,12
"Pullman New Delhi Aerocity, Aerocity, New Delhi",4,2800.0,4.6,13
"Country Inn & Suites by Carlson, Sahibabad, Ghaziabad",3,2733.3333333333335,4.5,14
"Sheraton New Delhi Hotel, Saket, New Delhi",3,2733.3333333333335,4.4,14
"The Claridges, Aurangzeb Road, New Delhi",4,2700.0,4.7,15
"Sangam Courtyard, RK Puram, New Delhi",3,2533.3333333333335,4.6,16
"Andaz Delhi, Aerocity, New Delhi",3,2500.0,4.5,17
"Radisson Blu Plaza Delhi Airport, Mahipalpur, New Delhi",3,2500.0,4.6,17
"Two Horizon Center, Golf Course Road, Gurgaon",4,2500.0,4.8,17
"Mehrauli, New Delhi",9,2266.6666666666665,4.7,18
"Janpath, New Delhi",5,2260.0,4.5,19
"Aerocity, New Delhi",4,2175.0,4.6,20
"Gardens Galleria, Sector 38 Noida, Noida",9,2166.6666666666665,4.4,21
"Vivanta by Taj, Suraj Kund, Faridabad",3,2000.0,4.4,22
"Logix City Centre, Sector 32, Noida, Noida",5,1960.0,4.4,23
"Epicuria Food Mall, Nehru Place, New Delhi",7,1942.857142857143,4.4,24
"M Block Market, Greater Kailash 2 (GK2), New Delhi",10,1910.0,4.6,25
"Ansal Plaza Mall, Khel Gaon Marg, New Delhi",5,1880.0,4.5,26
"Worldmark 1, Aerocity, New Delhi",8,1862.5,4.6,27
"Pandara Road Market, New Delhi",7,1771.4285714285713,4.7,28
"Global Foyer Mall, Golf Course Road, Gurgaon",5,1720.0,4.7,29
"DLF Promenade Mall, Vasant Kunj, New Delhi",5,1700.0,4.2,30
"Sector 29, Gurgaon",31,1685.483870967742,4.7,31
"Pacific Mall, Tagore Garden, New Delhi",5,1660.0,4.7,32
"Sunder Nagar, New Delhi",3,1600.0,4.3,33
"Unity One Mall, Janakpuri, New Delhi",3,1566.6666666666667,4.6,34
"Essex Farms, Adchini, New Delhi",4,1550.0,4.4,35
"32nd Avenue, NH8, Gurgaon, Gurgaon",11,1545.4545454545455,4.7,36
"Adchini, New Delhi",3,1533.3333333333333,4.2,37
"Cyber Hub, DLF Cyber City, Gurgaon",19,1523.6842105263158,4.9,38
"Khan Market, New Delhi",19,1515.7894736842106,4.9,39
"Chanakyapuri, New Delhi",14,1503.5714285714287,4.8,40
"Cross Point Mall, DLF Phase 4, Gurgaon",6,1466.6666666666667,4.6,41
"Indirapuram Habitat Centre, Indirapuram, Ghaziabad",3,1433.3333333333333,4.5,42
"Ambience Mall, Vasant Kunj, New Delhi",6,1416.6666666666667,4.6,43
"The Great India Place, Sector 38, Noida",3,1416.6666666666667,4.2,43
"South Extension 2, New Delhi",5,1400.0,4.4,44
"Kailash Colony, New Delhi",7,1385.7142857142858,4.8,45
